Factor,Time ,Month ,Plot,Diversity ,Nutrients,Sediment,Treatment ,Cyano,Green Algae,Diatoms
0.C_N0_S1_1,0,August'15,37,C,N0,S1,C_N0_S1,0.126666667,0.033333333,0.273333333
0.C_N0_S1_2,0,August'15,46,C,N0,S1,C_N0_S1,0.266666667,0,0.133333333
0.C_N0_S1_3,0,August'15,60,C,N0,S1,C_N0_S1,0.12,0,0.116666667
0.C_N0_S1_4,0,August'15,A,C,N0,S1,C_N0_S1,0.116666667,0.116666667,0.436666667
0.C_N0_S1_5,0,August'15,D,C,N0,S1,C_N0_S1,0.18,0.153333333,0.253333333
0.C_N1_S0_1,0,August'15,8,C,N1,S0,C_N1_S0,0.08,0,0.055
0.C_N1_S0_2,0,August'15,27,C,N1,S0,C_N1_S0,0.106666667,0.003333333,0.116666667
0.C_N1_S0_3,0,August'15,42,C,N1,S0,C_N1_S0,0.2,0,0.124
0.C_N1_S0_4,0,August'15,63,C,N1,S0,C_N1_S0,0.056666667,0.006666667,0.073333333
0.C_N1_S0_5,0,August'15,G,C,N1,S0,C_N1_S0,0.07,0.033333333,0.11
0.C_N1_S1_1,0,August'15,10,C,N1,S1,C_N1_S1,0.09,0.013333333,0.13
0.C_N1_S1_2,0,August'15,26,C,N1,S1,C_N1_S1,0.19,0.146666667,0.443333333
0.C_N1_S1_3,0,August'15,28,C,N1,S1,C_N1_S1,0.305,0.1425,0.6475
0.C_N1_S1_4,0,August'15,70,C,N1,S1,C_N1_S1,0.04,0.016666667,0.053333333
0.C_N1_S1_5,0,August'15,L,C,N1,S1,C_N1_S1,0.076666667,0,0.106666667
0.D_N0_S0_1,0,August'15,21,D,N0,S0,D_N0_S0,0.153333333,0.033333333,0.06
0.D_N0_S0_2,0,August'15,41,D,N0,S0,D_N0_S0,0.143333333,0.006666667,0.086666667
0.D_N0_S0_3,0,August'15,52,D,N0,S0,D_N0_S0,0.096666667,0.026666667,0.036666667
0.D_N0_S0_4,0,August'15,58,D,N0,S0,D_N0_S0,0.14,0.006666667,0.056666667
0.D_N0_S0_5,0,August'15,68,D,N0,S0,D_N0_S0,0.103333333,0.003333333,0.063333333
0.D_N0_S1_1,0,August'15,35,D,N0,S1,D_N0_S1,0.145,0.0225,0.2575
0.D_N0_S1_2,0,August'15,38,D,N0,S1,D_N0_S1,0.136666667,0.176666667,0.203333333
0.D_N0_S1_3,0,August'15,54,D,N0,S1,D_N0_S1,0.1,0.003333333,0.086666667
0.D_N0_S1_4,0,August'15,62,D,N0,S1,D_N0_S1,0.196666667,0,0.123333333
0.D_N0_S1_5,0,August'15,72,D,N0,S1,D_N0_S1,0.15,0.0275,0.505
0.D_N1_S0_1,0,August'15,48,D,N1,S0,D_N1_S0,0.2625,0,0.0825
0.D_N1_S0_2,0,August'15,56,D,N1,S0,D_N1_S0,0.156666667,0,0.343333333
0.D_N1_S0_3,0,August'15,64,D,N1,S0,D_N1_S0,0.143333333,0,0.063333333
0.D_N1_S0_4,0,August'15,86,D,N1,S0,D_N1_S0,0.123333333,0.003333333,0.5
0.D_N1_S0_5,0,August'15,24*,D,N1,S0,D_N1_S0,0.07,0,0.05
0.D_N1_S1_1,0,August'15,9,D,N1,S1,D_N1_S1,0.016666667,0.046666667,0.033333333
0.D_N1_S1_2,0,August'15,29,D,N1,S1,D_N1_S1,0.05,0.003333333,0.026666667
0.D_N1_S1_3,0,August'15,57,D,N1,S1,D_N1_S1,0.12,0.203333333,0.123333333
0.D_N1_S1_4,0,August'15,66,D,N1,S1,D_N1_S1,0.163333333,0.003333333,0.103333333
0.D_N1_S1_5,0,August'15,99,D,N1,S1,D_N1_S1,0.356666667,0.006666667,0.466666667
1.A_N0_S0_1,1,September'15,6,A,N0,S0,A_N0_S0,0.12,0,0.09
1.A_N0_S0_2,1,September'15,7,A,N0,S0,A_N0_S0,0.18,0.035,0.335
1.A_N0_S0_3,1,September'15,32,A,N0,S0,A_N0_S0,0.17,0,0.223333333
1.A_N0_S0_4,1,September'15,50,A,N0,S0,A_N0_S0,0.27,0,0.286666667
1.A_N0_S0_5,1,September'15,53,A,N0,S0,A_N0_S0,0.323333333,0,0.266666667
1.A_N0_S1_1,1,September'15,16,A,N0,S1,A_N0_S1,0.235,0,0.25
1.A_N0_S1_2,1,September'15,19,A,N0,S1,A_N0_S1,0.145,0,0.145
1.A_N0_S1_3,1,September'15,20,A,N0,S1,A_N0_S1,0.225,0,0.16
1.A_N0_S1_4,1,September'15,36,A,N0,S1,A_N0_S1,0.586666667,0,0.92
1.A_N0_S1_5,1,September'15,40,A,N0,S1,A_N0_S1,0.133333333,0.473333333,0.363333333
1.A_N1_S0_1,1,September'15,14,A,N1,S0,A_N1_S0,0.78,0,0.615
1.A_N1_S0_2,1,September'15,23,A,N1,S0,A_N1_S0,0.635,0,0.79
1.A_N1_S0_3,1,September'15,69,A,N1,S0,A_N1_S0,1.65,0,1.32
1.A_N1_S0_4,1,September'15,I,A,N1,S0,A_N1_S0,0.74,0,0.503333333
1.A_N1_S0_5,1,September'15,K,A,N1,S0,A_N1_S0,1.916666667,0,2.143333333
1.A_N1_S1_1,1,September'15,30,A,N1,S1,A_N1_S1,0.233333333,0,0.406666667
1.A_N1_S1_2,1,September'15,47,A,N1,S1,A_N1_S1,0.383333333,0,0.463333333
1.A_N1_S1_3,1,September'15,B,A,N1,S1,A_N1_S1,1.686666667,0,1.02
1.A_N1_S1_4,1,September'15,F,A,N1,S1,A_N1_S1,0.3,0.283333333,0.586666667
1.A_N1_S1_5,1,September'15,N,A,N1,S1,A_N1_S1,0.24,0,0.186666667
1.B_N0_S0_1,1,September'15,1,B,N0,S0,B_N0_S0,0.1,0,0.1
1.B_N0_S0_2,1,September'15,4,B,N0,S0,B_N0_S0,0.156666667,0,0.113333333
1.B_N0_S0_3,1,September'15,31,B,N0,S0,B_N0_S0,0.23,0.076666667,0.543333333
1.B_N0_S0_4,1,September'15,34,B,N0,S0,B_N0_S0,0.15,0.01,0.246666667
1.B_N0_S0_5,1,September'15,E,B,N0,S0,B_N0_S0,0.16,0,0.196666667
1.B_N0_S1_1,1,September'15,17,B,N0,S1,B_N0_S1,0.22,0.045,0.395
1.B_N0_S1_2,1,September'15,18,B,N0,S1,B_N0_S1,0.355,0,0.22
1.B_N0_S1_3,1,September'15,49,B,N0,S1,B_N0_S1,0.073333333,0,0.066666667
1.B_N0_S1_4,1,September'15,65,B,N0,S1,B_N0_S1,0.226666667,0,0.153333333
1.B_N0_S1_5,1,September'15,H,B,N0,S1,B_N0_S1,0.22,0,0.276666667
1.B_N1_S0_1,1,September'15,5,B,N1,S0,B_N1_S0,0.176666667,0,0.146666667
1.B_N1_S0_2,1,September'15,24,B,N1,S0,B_N1_S0,0.09,0.09,0.18
1.B_N1_S0_3,1,September'15,44,B,N1,S0,B_N1_S0,0.116666667,0,0.083333333
1.B_N1_S0_4,1,September'15,67,B,N1,S0,B_N1_S0,0.146666667,0,0.213333333
1.B_N1_S0_5,1,September'15,J,B,N1,S0,B_N1_S0,0.143333333,0,0.106666667
1.B_N1_S1_1,1,September'15,11,B,N1,S1,B_N1_S1,0.505,0,0.34
1.B_N1_S1_2,1,September'15,25,B,N1,S1,B_N1_S1,0.15,0,0.245
1.B_N1_S1_3,1,September'15,45,B,N1,S1,B_N1_S1,0.123333333,0,0.08
1.B_N1_S1_4,1,September'15,C,B,N1,S1,B_N1_S1,0.213333333,0,0.103333333
1.B_N1_S1_5,1,September'15,M,B,N1,S1,B_N1_S1,0.066666667,0,0.05
1.C_N0_S0_1,1,September'15,2,C,N0,S0,C_N0_S0,0.11,0,0.076666667
1.C_N0_S0_2,1,September'15,3,C,N0,S0,C_N0_S0,0.103333333,0,0.08
1.C_N0_S0_3,1,September'15,15,C,N0,S0,C_N0_S0,0.01,0.05,0.015
1.C_N0_S0_4,1,September'15,33,C,N0,S0,C_N0_S0,0.15,0,0.116666667
1.C_N0_S0_5,1,September'15,59,C,N0,S0,C_N0_S0,0.09,0.186666667,0.183333333
1.C_N0_S1_1,1,September'15,37,C,N0,S1,C_N0_S1,0.143333333,0.03,0.35
1.C_N0_S1_2,1,September'15,46,C,N0,S1,C_N0_S1,0.246666667,0,0.166666667
1.C_N0_S1_3,1,September'15,60,C,N0,S1,C_N0_S1,0.163333333,0,0.163333333
1.C_N0_S1_4,1,September'15,A,C,N0,S1,C_N0_S1,0.116666667,0.116666667,0.23
1.C_N0_S1_5,1,September'15,D,C,N0,S1,C_N0_S1,0.123333333,0.153333333,0.223333333
1.C_N1_S0_1,1,September'15,8,C,N1,S0,C_N1_S0,0.09,0,0.065
1.C_N1_S0_2,1,September'15,27,C,N1,S0,C_N1_S0,0.18,0,0.176666667
1.C_N1_S0_3,1,September'15,42,C,N1,S0,C_N1_S0,0.252,0,0.252
1.C_N1_S0_4,1,September'15,63,C,N1,S0,C_N1_S0,0.08,0,0.063333333
1.C_N1_S0_5,1,September'15,G,C,N1,S0,C_N1_S0,0.096666667,0.033333333,0.116666667
1.C_N1_S1_1,1,September'15,10,C,N1,S1,C_N1_S1,0.145,0,0.09
1.C_N1_S1_2,1,September'15,26,C,N1,S1,C_N1_S1,0.28,0.363333333,0.593333333
1.C_N1_S1_3,1,September'15,28,C,N1,S1,C_N1_S1,0.4175,0.3325,1.1725
1.C_N1_S1_4,1,September'15,70,C,N1,S1,C_N1_S1,0.036666667,0.01,0.073333333
1.C_N1_S1_5,1,September'15,L,C,N1,S1,C_N1_S1,0.1,0,0.1
1.D_N0_S0_1,1,September'15,21,D,N0,S0,D_N0_S0,0.113333333,0,0.043333333
1.D_N0_S0_2,1,September'15,41,D,N0,S0,D_N0_S0,0.193333333,0,0.103333333
1.D_N0_S0_3,1,September'15,52,D,N0,S0,D_N0_S0,0.046666667,0.033333333,0.043333333
1.D_N0_S0_4,1,September'15,58,D,N0,S0,D_N0_S0,0.1,0,0.043333333
1.D_N0_S0_5,1,September'15,68,D,N0,S0,D_N0_S0,0.11,0,0.05
1.D_N0_S1_1,1,September'15,35,D,N0,S1,D_N0_S1,0.1125,0.01,0.145
1.D_N0_S1_2,1,September'15,38,D,N0,S1,D_N0_S1,0.17,0.2,0.246666667
1.D_N0_S1_3,1,September'15,54,D,N0,S1,D_N0_S1,0.076666667,0,0.043333333
1.D_N0_S1_4,1,September'15,62,D,N0,S1,D_N0_S1,0.196666667,0,0.103333333
1.D_N0_S1_5,1,September'15,72,D,N0,S1,D_N0_S1,0.16,0,0.0925
1.D_N1_S0_1,1,September'15,48,D,N1,S0,D_N1_S0,0.1475,0,0.075
1.D_N1_S0_2,1,September'15,56,D,N1,S0,D_N1_S0,0.17,0,0.196666667
1.D_N1_S0_3,1,September'15,64,D,N1,S0,D_N1_S0,0.093333333,0,0.043333333
1.D_N1_S0_4,1,September'15,86,D,N1,S0,D_N1_S0,0.116666667,0,0.053333333
1.D_N1_S0_5,1,September'15,24*,D,N1,S0,D_N1_S0,0.076666667,0,0.056666667
1.D_N1_S1_1,1,September'15,9,D,N1,S1,D_N1_S1,0.006666667,0.036666667,0
1.D_N1_S1_2,1,September'15,29,D,N1,S1,D_N1_S1,0.06,0,0.033333333
1.D_N1_S1_3,1,September'15,57,D,N1,S1,D_N1_S1,0.066666667,0.3,0.09
1.D_N1_S1_4,1,September'15,66,D,N1,S1,D_N1_S1,0.193333333,0,0.12
1.D_N1_S1_5,1,September'15,99,D,N1,S1,D_N1_S1,0.29,0,0.22
2.A_N0_S0_1,2,October'15,6,A,N0,S0,A_N0_S0,0.52,0,0.46
2.A_N0_S0_2,2,October'15,7,A,N0,S0,A_N0_S0,0.43,0.156666667,0.81
2.A_N0_S0_3,2,October'15,32,A,N0,S0,A_N0_S0,0.703333333,0,1.18
2.A_N0_S0_4,2,October'15,50,A,N0,S0,A_N0_S0,0.21,0.473333333,0.583333333
2.A_N0_S0_5,2,October'15,53,A,N0,S0,A_N0_S0,0.67,0,0.903333333
2.A_N0_S1_1,2,October'15,16,A,N0,S1,A_N0_S1,0.266666667,0,0.343333333
2.A_N0_S1_2,2,October'15,19,A,N0,S1,A_N0_S1,0.38,0,0.523333333
2.A_N0_S1_3,2,October'15,20,A,N0,S1,A_N0_S1,0.66,0,0.43
2.A_N0_S1_4,2,October'15,36,A,N0,S1,A_N0_S1,0.53,0.003333333,1.576666667
2.A_N0_S1_5,2,October'15,40,A,N0,S1,A_N0_S1,0.466666667,0.483333333,0.356666667
2.A_N1_S0_1,2,October'15,14,A,N1,S0,A_N1_S0,0.266666667,0.683333333,0.48
2.A_N1_S0_2,2,October'15,23,A,N1,S0,A_N1_S0,1.036666667,0,1.55
2.A_N1_S0_3,2,October'15,69,A,N1,S0,A_N1_S0,2.776666667,0,2.61
2.A_N1_S0_4,2,October'15,I,A,N1,S0,A_N1_S0,1.24,0.66,3.86
2.A_N1_S0_5,2,October'15,K,A,N1,S0,A_N1_S0,2.243333333,0,6.043333333
2.A_N1_S1_1,2,October'15,30,A,N1,S1,A_N1_S1,0.15,0.15,0.386666667
2.A_N1_S1_2,2,October'15,47,A,N1,S1,A_N1_S1,0.363333333,0.206666667,1.023333333
2.A_N1_S1_3,2,October'15,B,A,N1,S1,A_N1_S1,3.69,0,5.67
2.A_N1_S1_4,2,October'15,F,A,N1,S1,A_N1_S1,1.293333333,0,1.816666667
2.A_N1_S1_5,2,October'15,N,A,N1,S1,A_N1_S1,0.373333333,0,0.38
2.B_N0_S0_1,2,October'15,1,B,N0,S0,B_N0_S0,0.193333333,0,0.23
2.B_N0_S0_2,2,October'15,4,B,N0,S0,B_N0_S0,0.263333333,0,0.253333333
2.B_N0_S0_3,2,October'15,31,B,N0,S0,B_N0_S0,0.073333333,0.32,0.153333333
2.B_N0_S0_4,2,October'15,34,B,N0,S0,B_N0_S0,0.126666667,0.376666667,0.256666667
2.B_N0_S0_5,2,October'15,E,B,N0,S0,B_N0_S0,0.52,0,0.76
2.B_N0_S1_1,2,October'15,17,B,N0,S1,B_N0_S1,0.383333333,0.946666667,0.653333333
2.B_N0_S1_2,2,October'15,18,B,N0,S1,B_N0_S1,0.506666667,0,0.31
2.B_N0_S1_3,2,October'15,49,B,N0,S1,B_N0_S1,0.21,0.026666667,0.496666667
2.B_N0_S1_4,2,October'15,65,B,N0,S1,B_N0_S1,0.276666667,0,0.216666667
2.B_N0_S1_5,2,October'15,H,B,N0,S1,B_N0_S1,0.353333333,0,0.44
2.B_N1_S0_1,2,October'15,5,B,N1,S0,B_N1_S0,0.29,0,0.273333333
2.B_N1_S0_2,2,October'15,24,B,N1,S0,B_N1_S0,0.213333333,0,0.336666667
2.B_N1_S0_3,2,October'15,44,B,N1,S0,B_N1_S0,0.256666667,0,0.23
2.B_N1_S0_4,2,October'15,67,B,N1,S0,B_N1_S0,0.203333333,0,0.363333333
2.B_N1_S0_5,2,October'15,J,B,N1,S0,B_N1_S0,0.226666667,0,0.196666667
2.B_N1_S1_1,2,October'15,11,B,N1,S1,B_N1_S1,0.713333333,0,0.653333333
2.B_N1_S1_2,2,October'15,25,B,N1,S1,B_N1_S1,0.203333333,0,0.353333333
2.B_N1_S1_3,2,October'15,45,B,N1,S1,B_N1_S1,0.27,0,0.25
2.B_N1_S1_4,2,October'15,C,B,N1,S1,B_N1_S1,0.183333333,0,0.103333333
2.B_N1_S1_5,2,October'15,M,B,N1,S1,B_N1_S1,0.206666667,0,0.263333333
2.C_N0_S0_1,2,October'15,2,C,N0,S0,C_N0_S0,0.286666667,0,0.25
2.C_N0_S0_2,2,October'15,3,C,N0,S0,C_N0_S0,0.39,0,0.26
2.C_N0_S0_3,2,October'15,15,C,N0,S0,C_N0_S0,0.016666667,0.046666667,0.03
2.C_N0_S0_4,2,October'15,33,C,N0,S0,C_N0_S0,0.27,0,0.216666667
2.C_N0_S0_5,2,October'15,59,C,N0,S0,C_N0_S0,0.12,0.673333333,0.303333333
2.C_N0_S1_1,2,October'15,37,C,N0,S1,C_N0_S1,0.336666667,0.026666667,0.57
2.C_N0_S1_2,2,October'15,46,C,N0,S1,C_N0_S1,0.35,0.153333333,0.78
2.C_N0_S1_3,2,October'15,60,C,N0,S1,C_N0_S1,0.306666667,0.013333333,0.72
2.C_N0_S1_4,2,October'15,A,C,N0,S1,C_N0_S1,0.236666667,0.096666667,0.45
2.C_N0_S1_5,2,October'15,D,C,N0,S1,C_N0_S1,0.383333333,0.856666667,0.966666667
2.C_N1_S0_1,2,October'15,8,C,N1,S0,C_N1_S0,0.096666667,0,0.126666667
2.C_N1_S0_2,2,October'15,27,C,N1,S0,C_N1_S0,0.213333333,0,0.24
2.C_N1_S0_3,2,October'15,42,C,N1,S0,C_N1_S0,0.23,0.006666667,0.566666667
2.C_N1_S0_4,2,October'15,63,C,N1,S0,C_N1_S0,0.226666667,0,0.166666667
2.C_N1_S0_5,2,October'15,G,C,N1,S0,C_N1_S0,0.403333333,0.413333333,0.946666667
2.C_N1_S1_1,2,October'15,10,C,N1,S1,C_N1_S1,0.17,0,0.126666667
2.C_N1_S1_2,2,October'15,26,C,N1,S1,C_N1_S1,0.096666667,0.06,0.186666667
2.C_N1_S1_3,2,October'15,28,C,N1,S1,C_N1_S1,0.413333333,0.033333333,0.803333333
2.C_N1_S1_4,2,October'15,70,C,N1,S1,C_N1_S1,0.12,0,0.176666667
2.C_N1_S1_5,2,October'15,L,C,N1,S1,C_N1_S1,0.26,0,0.27
2.D_N0_S0_1,2,October'15,21,D,N0,S0,D_N0_S0,0.24,0,0.153333333
2.D_N0_S0_2,2,October'15,41,D,N0,S0,D_N0_S0,0.266666667,0,0.156666667
2.D_N0_S0_3,2,October'15,52,D,N0,S0,D_N0_S0,0.333333333,0,0.196666667
2.D_N0_S0_4,2,October'15,58,D,N0,S0,D_N0_S0,0.706666667,0,0.403333333
2.D_N0_S0_5,2,October'15,68,D,N0,S0,D_N0_S0,0.293333333,0,0.18
2.D_N0_S1_1,2,October'15,35,D,N0,S1,D_N0_S1,0.176666667,0,0.12
2.D_N0_S1_2,2,October'15,38,D,N0,S1,D_N0_S1,0.396666667,0,0.196666667
2.D_N0_S1_3,2,October'15,54,D,N0,S1,D_N0_S1,0.22,0,0.316666667
2.D_N0_S1_4,2,October'15,62,D,N0,S1,D_N0_S1,0.2,0.036666667,0.373333333
2.D_N0_S1_5,2,October'15,72,D,N0,S1,D_N0_S1,0.33,0,0.273333333
2.D_N1_S0_1,2,October'15,48,D,N1,S0,D_N1_S0,0.113333333,0,0.106666667
2.D_N1_S0_2,2,October'15,56,D,N1,S0,D_N1_S0,0.326666667,0,0.483333333
2.D_N1_S0_3,2,October'15,64,D,N1,S0,D_N1_S0,0.153333333,0,0.09
2.D_N1_S0_4,2,October'15,86,D,N1,S0,D_N1_S0,0.413333333,0,0.286666667
2.D_N1_S0_5,2,October'15,24*,D,N1,S0,D_N1_S0,0.056666667,0.1,0.06
2.D_N1_S1_1,2,October'15,9,D,N1,S1,D_N1_S1,0.303333333,0.71,0.616666667
2.D_N1_S1_2,2,October'15,29,D,N1,S1,D_N1_S1,0.15,0,0.026666667
2.D_N1_S1_3,2,October'15,57,D,N1,S1,D_N1_S1,0.206666667,0.26,0.313333333
2.D_N1_S1_4,2,October'15,66,D,N1,S1,D_N1_S1,0.26,0,0.303333333
2.D_N1_S1_5,2,October'15,99,D,N1,S1,D_N1_S1,0.506666667,0,0.343333333
3.A_N0_S0_1,3,November'15 ,6,A,N0,S0,A_N0_S0,0.7,0,1.01
3.A_N0_S0_2,3,November'15 ,7,A,N0,S0,A_N0_S0,0.083333333,4.303333333,0.766666667
3.A_N0_S0_3,3,November'15 ,32,A,N0,S0,A_N0_S0,1.506666667,0,3.623333333
3.A_N0_S0_4,3,November'15 ,50,A,N0,S0,A_N0_S0,0.383333333,0,0.703333333
3.A_N0_S0_5,3,November'15 ,53,A,N0,S0,A_N0_S0,0.086666667,0.13,0.176666667
3.A_N0_S1_1,3,November'15 ,16,A,N0,S1,A_N0_S1,0.22,0.13,0.173333333
3.A_N0_S1_2,3,November'15 ,19,A,N0,S1,A_N0_S1,0.326666667,0,0.513333333
3.A_N0_S1_3,3,November'15 ,20,A,N0,S1,A_N0_S1,0.28,0,0.256666667
3.A_N0_S1_4,3,November'15 ,36,A,N0,S1,A_N0_S1,0.923333333,0.293333333,4.34
3.A_N0_S1_5,3,November'15 ,40,A,N0,S1,A_N0_S1,1.16,0,1.566666667
3.A_N1_S0_1,3,November'15 ,14,A,N1,S0,A_N1_S0,0.276666667,1.256666667,0.58
3.A_N1_S0_2,3,November'15 ,23,A,N1,S0,A_N1_S0,0.69,1.686666667,1.116666667
3.A_N1_S0_3,3,November'15 ,69,A,N1,S0,A_N1_S0,1.146666667,0,3.066666667
3.A_N1_S0_4,3,November'15 ,I,A,N1,S0,A_N1_S0,0.15,0,0.133333333
3.A_N1_S0_5,3,November'15 ,K,A,N1,S0,A_N1_S0,0.816666667,0.133333333,1.763333333
3.A_N1_S1_1,3,November'15 ,30,A,N1,S1,A_N1_S1,0.183333333,1.736666667,0.806666667
3.A_N1_S1_2,3,November'15 ,47,A,N1,S1,A_N1_S1,0.66,0.03,1.72
3.A_N1_S1_3,3,November'15 ,B,A,N1,S1,A_N1_S1,1.363333333,0,4.82
3.A_N1_S1_4,3,November'15 ,F,A,N1,S1,A_N1_S1,2.29,0,4.43
3.A_N1_S1_5,3,November'15 ,N,A,N1,S1,A_N1_S1,0.656666667,0,1.15
3.B_N0_S0_1,3,November'15 ,1,B,N0,S0,B_N0_S0,0.143333333,0.116666667,0.383333333
3.B_N0_S0_2,3,November'15 ,4,B,N0,S0,B_N0_S0,0.166666667,0,0.39
3.B_N0_S0_3,3,November'15 ,31,B,N0,S0,B_N0_S0,0.066666667,0.283333333,0.126666667
3.B_N0_S0_4,3,November'15 ,34,B,N0,S0,B_N0_S0,0.166666667,0.473333333,0.46
3.B_N0_S0_5,3,November'15 ,E,B,N0,S0,B_N0_S0,0.33,0.133333333,0.726666667
3.B_N0_S1_1,3,November'15 ,17,B,N0,S1,B_N0_S1,0.353333333,0.496666667,0.62
3.B_N0_S1_2,3,November'15 ,18,B,N0,S1,B_N0_S1,0.456666667,0,0.226666667
3.B_N0_S1_3,3,November'15 ,49,B,N0,S1,B_N0_S1,0.12,0.25,0.52
3.B_N0_S1_4,3,November'15 ,65,B,N0,S1,B_N0_S1,0.173333333,0,0.303333333
3.B_N0_S1_5,3,November'15 ,H,B,N0,S1,B_N0_S1,0.456666667,0,0.656666667
3.B_N1_S0_1,3,November'15 ,5,B,N1,S0,B_N1_S0,0.273333333,0,0.52
3.B_N1_S0_2,3,November'15 ,24,B,N1,S0,B_N1_S0,0.156666667,0.063333333,0.256666667
3.B_N1_S0_3,3,November'15 ,44,B,N1,S0,B_N1_S0,0.176666667,0,0.193333333
3.B_N1_S0_4,3,November'15 ,67,B,N1,S0,B_N1_S0,0.13,0.26,0.343333333
3.B_N1_S0_5,3,November'15 ,J,B,N1,S0,B_N1_S0,0.183333333,0,0.246666667
3.B_N1_S1_1,3,November'15 ,11,B,N1,S1,B_N1_S1,0.313333333,0,0.426666667
3.B_N1_S1_2,3,November'15 ,25,B,N1,S1,B_N1_S1,0.153333333,0.003333333,0.31
3.B_N1_S1_3,3,November'15 ,45,B,N1,S1,B_N1_S1,0.323333333,0,0.213333333
3.B_N1_S1_4,3,November'15 ,C,B,N1,S1,B_N1_S1,0.11,0,0.063333333
