Sediment Level ,Nitrogen ,Phosphorus,Mesocosm,Siphonoperla torrentium,Isoperla grammatica ,Leuctra sp.,    Ecdyonurus sp.,    Rhithrogena semicolorata,Baetis rhodani,Baetis muticus,Ephemerella ignita,Silo pallipes,Sericostoma personatum,Hydropsyche sp.,   Agapetus fuscipes,Plectronemaia sp.,   Potamophylax sp.,   Halesus sp. ,Lepidostoma hirtum,Dicranota sp. ,Limoniidae,Chironomidae ,Simuliidae,Gammarus duebeni,Ancyclus fluviatilis,Sphaeriidae,Potamopyrgus antipodarum,Oligochaetae,Hydracarina,Elmis aenea,Limnius volckmari,Dytiscus sp.,Hydraenea
0,AN,AP,21,1,1,3,0,10,2,1,6,9,0,2,0,0,1,0,0,4,1,334,0,56,1,0,31,2,0,4,1,0,0
0,CN,CP,22,0,2,4,0,4,1,0,2,13,1,0,0,0,0,0,0,6,0,536,0,57,2,0,86,3,0,3,0,0,0
0,0N,AP,23,0,1,4,0,9,6,1,7,0,2,1,0,0,0,0,0,7,0,445,0,124,0,0,26,0,0,11,3,0,1
0,CN,0P,24,1,0,1,0,9,3,2,1,4,1,1,0,0,0,0,0,4,1,341,2,50,1,0,70,0,0,12,3,0,0
H,CN,CP,25,0,3,1,0,8,1,0,3,4,0,1,0,0,0,0,0,3,0,274,1,24,0,0,35,1,1,4,0,0,0
0,CN,CP,26,1,1,1,0,14,0,1,8,9,0,0,1,0,3,0,1,4,1,304,0,23,0,0,25,1,1,1,0,0,1
0,0N,AP,27,3,5,6,0,21,1,0,4,20,1,4,2,0,0,0,1,4,0,280,0,117,1,0,53,0,0,22,2,0,0
0,CN,0P,28,2,1,10,0,14,1,2,6,24,0,0,1,0,1,0,0,7,0,283,0,41,0,0,41,3,0,10,3,1,1
H,CN,CP,29,0,1,2,0,5,0,2,8,1,1,1,0,0,1,0,0,5,1,367,1,52,1,0,38,2,0,6,2,1,0
H,0N,AP,30,0,3,1,0,0,0,1,6,3,0,2,1,0,0,0,0,4,0,291,0,69,1,1,55,6,0,3,0,0,0
0,AN,AP,31,1,0,1,0,9,6,0,4,27,0,0,4,0,3,0,0,3,2,222,0,111,2,0,153,2,0,12,1,0,0
0,0N,CP,32,1,0,4,0,18,5,0,7,25,1,2,0,0,1,0,0,4,0,194,0,116,0,0,94,1,0,5,0,0,0
0,AN,0P,33,0,0,4,0,2,1,0,5,6,1,4,0,0,1,0,0,3,0,124,0,25,0,0,24,0,0,22,0,0,0
H,AN,AP,34,0,0,2,0,5,6,0,1,2,2,1,0,0,0,0,0,0,0,240,1,57,1,0,30,1,0,4,0,0,0
H,0N,CP,35,0,0,2,0,2,3,0,5,9,1,0,1,0,0,0,0,5,0,206,0,57,0,0,33,0,0,0,3,0,0
0,0N,CP,36,0,1,4,0,1,6,1,3,2,1,0,0,0,0,0,0,3,0,540,0,51,0,0,19,0,0,6,1,0,0
0,AN,0P,37,3,0,8,0,9,8,0,9,21,0,0,2,0,0,0,0,0,0,408,0,17,0,0,13,0,0,4,1,0,0
H,AN,AP,38,1,1,1,0,7,0,1,1,5,1,1,1,0,1,0,0,5,0,202,0,19,1,0,29,0,0,1,0,1,0
H,0N,CP,39,0,0,1,0,0,2,1,2,4,1,1,0,0,0,0,0,2,0,244,0,49,0,0,49,0,0,7,0,0,0
0,CN,0P,40,1,0,2,0,10,4,0,2,23,1,0,4,0,6,0,0,2,0,303,0,34,0,0,45,0,0,8,1,0,0
H,CN,CP,41,2,0,3,0,12,1,0,7,10,0,0,2,0,1,0,0,3,0,249,0,14,1,0,69,1,0,7,0,1,0
H,0N,AP,42,2,3,5,0,16,3,1,4,2,0,0,0,0,0,0,0,4,0,295,0,25,0,0,14,0,0,5,1,0,0
H,CN,0P,43,2,1,2,0,5,0,1,2,11,0,0,2,0,0,0,0,0,0,266,0,17,0,0,15,0,0,2,0,0,0
0,AN,AP,44,1,0,11,0,20,7,0,3,11,0,0,1,0,1,0,0,2,0,367,0,37,0,0,40,0,0,3,3,0,1
H,CN,CP,45,0,0,3,0,15,3,1,2,3,1,2,0,0,0,0,0,8,0,321,0,36,0,0,20,0,0,1,1,0,0
H,0N,AP,46,1,1,1,0,12,0,0,2,9,0,0,0,0,1,0,0,2,1,237,0,43,0,0,23,0,0,1,2,0,0
H,0N,CP,47,0,0,0,0,3,1,0,2,8,0,3,2,0,0,0,0,1,0,160,0,81,0,0,126,0,0,4,1,0,0
H,AN,0P,48,0,0,0,0,9,0,1,1,5,0,0,1,0,0,0,0,1,0,282,0,61,0,0,59,1,0,5,3,0,0
0,CN,CP,49,0,1,8,0,5,2,0,10,2,0,1,1,0,0,0,1,1,0,306,0,41,0,0,27,1,0,6,1,0,0
H,AN,AP,50,0,2,2,0,0,0,0,7,3,0,1,2,0,1,0,0,3,0,294,0,18,0,0,10,0,0,2,0,0,0
H,0N,CP,51,1,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,1,1,302,0,43,0,0,11,0,0,6,0,1,0
H,AN,0P,52,0,1,2,0,3,1,0,7,4,1,0,0,0,0,0,0,4,0,163,0,14,0,0,36,0,0,1,0,0,0
0,CN,CP,53,3,0,4,0,17,4,2,4,9,0,0,2,0,1,0,1,7,0,216,0,38,0,0,41,0,0,6,0,0,1
0,CN,0P,54,0,0,3,0,1,2,0,4,18,1,0,0,0,0,0,0,2,0,355,0,29,0,0,24,0,0,3,0,0,0
H,CN,CP,55,0,0,0,0,5,1,0,7,2,0,2,0,0,1,0,0,4,1,186,0,61,1,0,33,0,0,12,1,1,0
H,0N,AP,56,0,1,5,0,6,0,0,1,8,1,0,0,0,0,0,0,0,1,269,0,53,0,0,14,1,0,6,0,0,0
H,CN,0P,57,1,1,3,0,3,2,1,2,17,0,0,4,0,0,0,0,3,0,211,0,35,1,0,53,0,0,3,2,1,0
0,AN,AP,58,0,0,2,0,6,5,0,5,25,0,0,1,0,2,0,1,4,0,251,0,21,1,0,109,1,0,5,0,0,0
H,CN,0P,59,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,3,1,298,0,29,0,0,20,1,0,6,2,0,0
0,AN,AP,60,2,0,4,0,11,12,1,4,16,0,0,2,0,2,0,0,4,1,303,0,36,0,0,22,0,0,9,0,0,0
0,0N,CP,61,1,0,4,0,7,10,4,3,11,0,1,3,0,0,0,0,2,1,210,0,76,0,1,36,0,0,17,0,0,0
0,AN,0P,62,1,1,5,0,8,5,1,7,19,1,0,1,1,2,0,0,3,0,191,0,44,1,0,101,0,0,14,0,0,0
H,AN,AP,63,0,1,1,0,6,6,0,0,12,0,0,2,0,0,0,0,2,0,132,0,40,1,0,35,0,0,4,2,0,0
H,AN,0P,64,0,0,2,0,5,2,0,1,13,1,4,5,0,0,0,0,6,0,138,0,54,1,0,37,0,0,2,4,0,0
0,CN,CP,65,1,0,4,0,8,5,0,2,12,0,1,4,0,0,0,0,3,0,302,0,54,0,1,67,0,0,6,1,0,0
0,0N,AP,66,1,1,1,0,12,6,1,2,2,0,1,0,1,0,0,0,2,1,262,0,41,1,0,45,0,0,9,2,0,0
0,CN,0P,67,3,0,5,0,18,5,0,5,13,2,1,6,0,2,0,1,3,0,188,0,55,1,0,111,0,0,10,2,0,3
H,AN,0P,68,0,0,0,0,11,5,0,0,24,1,0,3,0,3,0,0,2,2,98,0,58,1,0,106,0,0,6,3,0,0
0,CN,CP,69,3,1,6,0,3,1,0,5,5,0,1,0,0,0,0,0,3,0,331,0,51,1,0,51,0,0,7,2,0,0
0,0N,AP,70,1,0,4,0,11,3,2,2,17,1,0,5,1,0,0,0,2,1,201,0,74,0,0,31,4,0,6,2,0,0
0,0N,CP,71,1,0,1,0,24,5,0,3,28,0,1,8,0,1,0,1,4,0,203,0,55,0,0,45,0,0,4,3,0,1
0,AN,0P,72,0,0,3,0,13,5,0,2,13,0,0,3,0,2,0,0,4,0,203,0,54,1,0,162,0,0,10,2,0,0
H,CN,0P,73,0,3,3,0,7,2,1,2,8,1,2,0,0,1,0,0,4,0,116,0,21,1,0,33,0,0,4,1,1,0
0,AN,AP,74,0,1,2,0,12,8,1,1,3,0,1,0,0,0,0,0,2,0,257,0,40,1,0,16,0,0,2,0,0,0
0,0N,CP,75,2,1,4,0,13,3,0,2,7,0,0,3,0,0,0,0,1,0,294,0,41,1,0,11,0,0,2,1,0,0
0,AN,0P,76,1,0,2,0,0,2,0,0,5,0,0,0,0,0,0,0,1,0,338,1,26,1,0,11,1,0,1,0,0,0
H,AN,AP,77,0,0,2,0,7,0,0,1,3,0,0,0,0,3,0,0,2,0,244,0,14,3,0,15,0,0,1,0,0,0
0,0N,AP,78,0,2,2,0,13,3,2,2,10,0,0,1,0,0,0,0,1,0,356,0,50,0,0,28,2,1,6,1,0,0
0,CN,0P,79,0,0,0,0,5,3,0,3,5,0,1,1,0,1,0,0,2,1,301,0,23,0,0,30,0,0,1,2,0,0
H,CN,CP,80,0,0,2,0,4,3,0,2,4,0,0,1,0,0,0,0,1,0,256,0,21,1,0,19,1,0,3,1,0,0
H,0N,AP,81,1,0,1,0,13,1,0,0,15,1,0,1,0,0,0,0,4,0,300,0,16,0,0,12,0,0,0,4,0,0
0,0N,AP,82,3,0,5,0,16,3,0,4,8,0,1,0,0,0,0,0,9,0,319,0,54,0,1,58,0,0,12,2,0,2
0,CN,0P,83,1,0,4,0,7,6,0,5,7,0,1,0,0,1,0,0,4,0,360,0,26,0,0,25,0,0,2,0,0,0
H,CN,CP,84,0,0,0,0,9,1,0,1,6,0,1,0,0,0,0,0,1,0,212,0,6,0,0,20,0,0,0,1,0,0
H,0N,AP,85,0,1,7,0,10,3,0,2,9,0,0,0,0,1,0,0,1,1,335,0,51,0,0,9,3,0,4,1,0,0
H,CN,0P,86,0,2,4,0,16,3,0,1,14,0,0,0,0,0,0,0,8,0,214,0,29,0,0,23,0,0,1,0,0,0
0,0N,CP,87,0,0,8,0,21,2,0,3,21,1,1,0,0,0,1,0,10,0,224,0,79,2,0,58,0,0,7,3,0,0
0,AN,0P,88,1,2,4,0,10,6,0,6,14,0,4,0,0,0,1,0,3,0,198,0,56,0,1,39,0,0,7,2,0,0
H,AN,AP,89,0,1,2,0,10,2,1,1,2,0,0,0,0,0,0,0,1,1,264,0,46,0,0,25,0,0,1,0,0,0
H,0N,CP,90,0,2,3,0,13,3,0,2,1,0,0,0,0,0,0,0,2,0,251,0,32,0,0,29,0,0,4,0,0,0
H,AN,0P,91,0,0,2,0,9,4,0,2,11,0,0,0,0,0,0,0,0,1,416,0,20,0,0,21,0,0,0,0,0,1
0,AN,0P,92,0,0,3,0,25,12,0,8,3,0,1,0,0,0,0,0,2,2,312,0,38,0,0,32,0,0,11,4,0,1
H,AN,AP,93,0,0,2,0,7,2,0,2,5,0,2,0,0,2,0,0,2,2,231,0,21,1,0,63,0,0,2,1,1,0
H,0N,CP,94,0,2,10,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,246,0,22,1,0,25,1,0,1,1,1,0
H,AN,0P,95,1,1,5,0,12,2,1,0,5,0,0,0,0,1,0,0,1,0,216,0,85,1,0,20,0,0,0,1,0,1
H,CN,0P,96,0,0,1,0,5,0,0,1,6,0,0,0,0,0,0,0,2,0,149,0,3,1,0,67,0,0,2,3,0,0
H,0N,0P,97,1,0,3,0,1,5,0,6,15,0,1,1,0,0,0,0,4,1,388,0,31,1,0,58,1,0,5,0,0,1
H,0N,0P,98,0,0,3,1,4,0,0,2,12,1,0,1,0,0,0,0,2,1,252,0,15,0,0,25,0,0,4,0,0,0
0,0N,0P,99,6,1,6,0,14,0,0,6,4,2,0,0,0,0,0,0,5,0,276,0,58,2,0,36,0,0,8,3,0,0
H,0N,0P,100,3,0,3,0,9,3,0,13,4,0,0,0,0,0,2,0,5,0,337,0,32,1,0,29,0,0,0,1,0,0
0,0N,0P,101,1,0,2,0,19,9,3,6,1,0,1,0,0,1,2,0,1,1,371,1,41,1,0,36,0,0,10,1,0,0
0,0N,0P,102,0,0,7,0,19,10,0,5,4,0,0,0,1,0,0,0,5,0,336,0,60,0,0,47,0,0,9,0,0,2
H,0N,0P,103,0,1,2,0,13,3,0,2,5,1,0,0,0,1,0,0,6,0,205,0,46,2,0,35,1,0,3,0,0,0
0,0N,0P,104,2,1,5,0,23,7,0,2,6,0,0,0,0,1,0,0,3,0,254,0,45,0,0,31,1,0,6,0,0,0
H,0N,0P,105,0,0,4,0,4,1,0,0,12,1,0,1,0,1,1,0,3,1,164,0,46,1,0,48,1,0,10,0,0,0
0,0N,0P,106,0,0,5,0,11,6,0,3,15,1,2,0,0,0,0,0,7,0,212,0,45,0,0,27,1,0,10,5,0,0
0,0N,0P,107,0,3,6,0,6,0,0,2,2,0,2,0,0,0,0,0,3,0,251,0,34,0,0,15,0,0,8,3,0,0
0,0N,0P,108,0,0,7,0,12,4,0,1,5,0,0,1,0,0,0,0,4,0,438,1,20,0,0,25,0,0,0,0,0,0
H,0N,0P,109,4,2,1,0,13,2,0,5,9,0,0,0,0,0,0,0,2,0,261,0,20,0,0,16,0,0,1,0,0,0
H,0N,0P,110,2,0,3,0,10,1,0,3,20,0,1,0,0,0,0,0,1,1,248,1,14,0,0,32,0,0,2,1,0,0
0,0N,0P,111,3,0,12,0,7,1,0,2,12,0,0,0,0,0,0,0,1,0,492,0,35,0,0,20,0,0,5,1,0,0
H,0N,0P,112,2,1,2,0,2,3,0,3,3,0,0,0,0,0,1,0,7,0,313,1,33,1,0,18,0,0,1,0,0,0
