Habitat,Phase,Date,Channel,Treatment,Taxon,Abundance
RIF,low-flow,31/08/2015,3,lf.np.fs,Elmis.aenea,1
RIF,low-flow,31/08/2015,3,lf.np.fs,Gammarus.pulex,85
RIF,low-flow,31/08/2015,3,lf.np.fs,Leuctra.fusca.digitata,39
RIF,low-flow,31/08/2015,3,lf.np.fs,Leuctra.hippopus,50
RIF,low-flow,31/08/2015,3,lf.np.fs,Nemoura.sp,6
RIF,low-flow,31/08/2015,3,lf.np.fs,Oligochaeta.indet,3
RIF,low-flow,31/08/2015,3,lf.np.fs,Orthocladiinae.indet,2
RIF,low-flow,31/08/2015,3,lf.np.fs,Tanypodinae.indet,4
RIF,low-flow,31/08/2015,3,lf.np.fs,Tipulidae.sp,1
RUN,low-flow,31/08/2015,3,lf.np.fs,Baetis.rhodani,3
RUN,low-flow,31/08/2015,3,lf.np.fs,Gammarus.pulex,44
RUN,low-flow,31/08/2015,3,lf.np.fs,Leuctra.fusca.digitata,3
RUN,low-flow,31/08/2015,3,lf.np.fs,Leuctra.hippopus,4
RUN,low-flow,31/08/2015,3,lf.np.fs,Orthocladiinae.indet,4
RUN,low-flow,31/08/2015,3,lf.np.fs,Tanypodinae.indet,4
RIF,low-flow,31/08/2015,4,lf,Baetis.rhodani,16
RIF,low-flow,31/08/2015,4,lf,Dugesia.gonocephala,2
RIF,low-flow,31/08/2015,4,lf,Gammarus.pulex,18
RIF,low-flow,31/08/2015,4,lf,Leuctra.fusca.digitata,9
RIF,low-flow,31/08/2015,4,lf,Leuctra.hippopus,19
RIF,low-flow,31/08/2015,4,lf,Nemoura.sp,7
RIF,low-flow,31/08/2015,4,lf,Orthocladiinae.indet,1
RUN,low-flow,31/08/2015,4,lf,Baetis.rhodani,1
RUN,low-flow,31/08/2015,4,lf,Dicranota.sp,2
RUN,low-flow,31/08/2015,4,lf,Elmis.aenea,1
RUN,low-flow,31/08/2015,4,lf,Gammarus.pulex,106
RUN,low-flow,31/08/2015,4,lf,Leuctra.fusca.digitata,3
RUN,low-flow,31/08/2015,4,lf,Leuctra.hippopus,7
RUN,low-flow,31/08/2015,4,lf,Nemoura.sp,1
RUN,low-flow,31/08/2015,4,lf,Oligochaeta.indet,1
RUN,low-flow,31/08/2015,4,lf,Orthocladiinae.indet,3
RIF,low-flow,31/08/2015,5,lf.fs,Asellus.aquaticus,1
RIF,low-flow,31/08/2015,5,lf.fs,Baetis.rhodani,25
RIF,low-flow,31/08/2015,5,lf.fs,Chironomini.indet,2
RIF,low-flow,31/08/2015,5,lf.fs,Elmis.aenea,1
RIF,low-flow,31/08/2015,5,lf.fs,Gammarus.pulex,70
RIF,low-flow,31/08/2015,5,lf.fs,Leuctra.fusca.digitata,14
RIF,low-flow,31/08/2015,5,lf.fs,Leuctra.hippopus,46
RIF,low-flow,31/08/2015,5,lf.fs,Nemoura.sp,12
RIF,low-flow,31/08/2015,5,lf.fs,Orthocladiinae.indet,1
RIF,low-flow,31/08/2015,5,lf.fs,Paraleptophlebia.submarginata,1
RUN,low-flow,31/08/2015,5,lf.fs,Baetis.rhodani,1
RUN,low-flow,31/08/2015,5,lf.fs,Chironomini.indet,1
RUN,low-flow,31/08/2015,5,lf.fs,Dicranota.sp,1
RUN,low-flow,31/08/2015,5,lf.fs,Gammarus.pulex,54
RUN,low-flow,31/08/2015,5,lf.fs,Leuctra.hippopus,12
RUN,low-flow,31/08/2015,5,lf.fs,Nemoura.sp,3
RUN,low-flow,31/08/2015,5,lf.fs,Oligochaeta.indet,1
RUN,low-flow,31/08/2015,5,lf.fs,Orthocladiinae.indet,1
RUN,low-flow,31/08/2015,5,lf.fs,Tanypodinae.indet,5
RIF,low-flow,31/08/2015,6,lf.np,Asellus.aquaticus,3
RIF,low-flow,31/08/2015,6,lf.np,Baetis.rhodani,15
RIF,low-flow,31/08/2015,6,lf.np,Dugesia.gonocephala,1
RIF,low-flow,31/08/2015,6,lf.np,Gammarus.pulex,38
RIF,low-flow,31/08/2015,6,lf.np,Leuctra.fusca.digitata,23
RIF,low-flow,31/08/2015,6,lf.np,Leuctra.hippopus,39
RIF,low-flow,31/08/2015,6,lf.np,Nemoura.sp,3
RIF,low-flow,31/08/2015,6,lf.np,Oligochaeta.indet,5
RIF,low-flow,31/08/2015,6,lf.np,Orthocladiinae.indet,2
RIF,low-flow,31/08/2015,6,lf.np,Paraleptophlebia.submarginata,5
RIF,low-flow,31/08/2015,6,lf.np,Tanypodinae.indet,1
RUN,low-flow,31/08/2015,6,lf.np,Baetis.rhodani,7
RUN,low-flow,31/08/2015,6,lf.np,Chironomini.indet,1
RUN,low-flow,31/08/2015,6,lf.np,Dicranota.sp,1
RUN,low-flow,31/08/2015,6,lf.np,Serratella.ignita,1
RUN,low-flow,31/08/2015,6,lf.np,Gammarus.pulex,82
RUN,low-flow,31/08/2015,6,lf.np,Leuctra.hippopus,7
RUN,low-flow,31/08/2015,6,lf.np,Orthocladiinae.indet,4
RUN,low-flow,31/08/2015,6,lf.np,Tanypodinae.indet,8
RIF,low-flow,31/08/2015,7,lf,Asellus.aquaticus,1
RIF,low-flow,31/08/2015,7,lf,Baetis.rhodani,13
RIF,low-flow,31/08/2015,7,lf,Chironomini.indet,2
RIF,low-flow,31/08/2015,7,lf,Dugesia.gonocephala,1
RIF,low-flow,31/08/2015,7,lf,Gammarus.pulex,28
RIF,low-flow,31/08/2015,7,lf,Hydropsyche.sp,2
RIF,low-flow,31/08/2015,7,lf,Leuctra.fusca.digitata,12
RIF,low-flow,31/08/2015,7,lf,Leuctra.hippopus,30
RIF,low-flow,31/08/2015,7,lf,Nemoura.sp,10
RIF,low-flow,31/08/2015,7,lf,Orthocladiinae.indet,4
RUN,low-flow,31/08/2015,7,lf,Asellus.aquaticus,2
RUN,low-flow,31/08/2015,7,lf,Baetis.rhodani,10
RUN,low-flow,31/08/2015,7,lf,Dicranota.sp,1
RUN,low-flow,31/08/2015,7,lf,Gammarus.pulex,306
RUN,low-flow,31/08/2015,7,lf,Leuctra.hippopus,8
RUN,low-flow,31/08/2015,7,lf,Nemoura.sp,4
RUN,low-flow,31/08/2015,7,lf,Oligochaeta.indet,1
RUN,low-flow,31/08/2015,7,lf,Prodiamesa.olivacea,1
RIF,low-flow,31/08/2015,8,lf.np.fs,Baetis.rhodani,26
RIF,low-flow,31/08/2015,8,lf.np.fs,Chironomini.indet,3
RIF,low-flow,31/08/2015,8,lf.np.fs,Dugesia.gonocephala,1
RIF,low-flow,31/08/2015,8,lf.np.fs,Elmis.aenea,1
RIF,low-flow,31/08/2015,8,lf.np.fs,Gammarus.pulex,47
RIF,low-flow,31/08/2015,8,lf.np.fs,Leuctra.fusca.digitata,12
RIF,low-flow,31/08/2015,8,lf.np.fs,Leuctra.hippopus,31
RIF,low-flow,31/08/2015,8,lf.np.fs,Nemoura.sp,3
RIF,low-flow,31/08/2015,8,lf.np.fs,Oligochaeta.indet,3
RIF,low-flow,31/08/2015,8,lf.np.fs,Orthocladiinae.indet,1
RIF,low-flow,31/08/2015,8,lf.np.fs,Sialis.sp,1
RIF,low-flow,31/08/2015,8,lf.np.fs,Tanypodinae.indet,3
RUN,low-flow,31/08/2015,8,lf.np.fs,Baetis.rhodani,13
RUN,low-flow,31/08/2015,8,lf.np.fs,Chironomini.indet,5
RUN,low-flow,31/08/2015,8,lf.np.fs,Gammarus.pulex,82
RUN,low-flow,31/08/2015,8,lf.np.fs,Leuctra.hippopus,1
RUN,low-flow,31/08/2015,8,lf.np.fs,Oreodytes.sanmarkii,1
RUN,low-flow,31/08/2015,8,lf.np.fs,Orthocladiinae.indet,2
RUN,low-flow,31/08/2015,8,lf.np.fs,Pisidium.sp,1
RUN,low-flow,31/08/2015,8,lf.np.fs,Tanypodinae.indet,1
RIF,low-flow,31/08/2015,9,lf.fs,Asellus.aquaticus,6
RIF,low-flow,31/08/2015,9,lf.fs,Baetis.rhodani,16
RIF,low-flow,31/08/2015,9,lf.fs,Dicranota.sp,1
RIF,low-flow,31/08/2015,9,lf.fs,Elmis.aenea,1
RIF,low-flow,31/08/2015,9,lf.fs,Gammarus.pulex,76
RIF,low-flow,31/08/2015,9,lf.fs,Leuctra.fusca.digitata,28
RIF,low-flow,31/08/2015,9,lf.fs,Leuctra.hippopus,81
RIF,low-flow,31/08/2015,9,lf.fs,Nemoura.sp,14
RIF,low-flow,31/08/2015,9,lf.fs,Oligochaeta.indet,2
RIF,low-flow,31/08/2015,9,lf.fs,Orthocladiinae.indet,1
RIF,low-flow,31/08/2015,9,lf.fs,Paraleptophlebia.submarginata,1
RUN,low-flow,31/08/2015,9,lf.fs,Baetis.rhodani,2
RUN,low-flow,31/08/2015,9,lf.fs,Chironomini.indet,2
RUN,low-flow,31/08/2015,9,lf.fs,Gammarus.pulex,88
RUN,low-flow,31/08/2015,9,lf.fs,Leuctra.fusca.digitata,2
RUN,low-flow,31/08/2015,9,lf.fs,Leuctra.hippopus,14
RUN,low-flow,31/08/2015,9,lf.fs,Nemoura.sp,7
RUN,low-flow,31/08/2015,9,lf.fs,Orthocladiinae.indet,2
RUN,low-flow,31/08/2015,9,lf.fs,Potamophylax.latipennis,1
RUN,low-flow,31/08/2015,9,lf.fs,Tanypodinae.indet,3
RIF,low-flow,31/08/2015,10,lf.np,Baetis.rhodani,25
RIF,low-flow,31/08/2015,10,lf.np,Chironomini.indet,1
RIF,low-flow,31/08/2015,10,lf.np,Dicranota.sp,1
RIF,low-flow,31/08/2015,10,lf.np,Gammarus.pulex,42
RIF,low-flow,31/08/2015,10,lf.np,Leuctra.fusca.digitata,10
RIF,low-flow,31/08/2015,10,lf.np,Leuctra.hippopus,20
RIF,low-flow,31/08/2015,10,lf.np,Nemoura.sp,5
RIF,low-flow,31/08/2015,10,lf.np,Oligochaeta.indet,6
RIF,low-flow,31/08/2015,10,lf.np,Orthocladiinae.indet,5
RIF,low-flow,31/08/2015,10,lf.np,Paraleptophlebia.submarginata,1
RUN,low-flow,31/08/2015,10,lf.np,Baetis.rhodani,6
RUN,low-flow,31/08/2015,10,lf.np,Chironomini.indet,2
RUN,low-flow,31/08/2015,10,lf.np,Gammarus.pulex,130
RUN,low-flow,31/08/2015,10,lf.np,Leuctra.hippopus,1
RUN,low-flow,31/08/2015,10,lf.np,Oligochaeta.indet,1
RUN,low-flow,31/08/2015,10,lf.np,Orthocladiinae.indet,9
RUN,low-flow,31/08/2015,10,lf.np,Pisidium.sp,1
RUN,low-flow,31/08/2015,10,lf.np,Tanypodinae.indet,5
RIF,low-flow,31/08/2015,11,lf.np.fs,Asellus.aquaticus,2
RIF,low-flow,31/08/2015,11,lf.np.fs,Baetis.rhodani,10
RIF,low-flow,31/08/2015,11,lf.np.fs,Chironomini.indet,4
RIF,low-flow,31/08/2015,11,lf.np.fs,Dicranota.sp,1
RIF,low-flow,31/08/2015,11,lf.np.fs,Gammarus.pulex,77
RIF,low-flow,31/08/2015,11,lf.np.fs,Leuctra.fusca.digitata,9
RIF,low-flow,31/08/2015,11,lf.np.fs,Leuctra.hippopus,41
RIF,low-flow,31/08/2015,11,lf.np.fs,Nemoura.sp,12
RIF,low-flow,31/08/2015,11,lf.np.fs,Oligochaeta.indet,4
RIF,low-flow,31/08/2015,11,lf.np.fs,Orthocladiinae.indet,6
RIF,low-flow,31/08/2015,11,lf.np.fs,Paraleptophlebia.submarginata,2
RUN,low-flow,31/08/2015,11,lf.np.fs,Baetis.rhodani,7
RUN,low-flow,31/08/2015,11,lf.np.fs,Chironomini.indet,2
RUN,low-flow,31/08/2015,11,lf.np.fs,Elmis.aenea,1
RUN,low-flow,31/08/2015,11,lf.np.fs,Gammarus.pulex,115
RUN,low-flow,31/08/2015,11,lf.np.fs,Glossiphonia.complanata,1
RUN,low-flow,31/08/2015,11,lf.np.fs,Leuctra.hippopus,7
RUN,low-flow,31/08/2015,11,lf.np.fs,Nemoura.sp,2
RUN,low-flow,31/08/2015,11,lf.np.fs,Oligochaeta.indet,3
RUN,low-flow,31/08/2015,11,lf.np.fs,Orthocladiinae.indet,8
RUN,low-flow,31/08/2015,11,lf.np.fs,Tanypodinae.indet,5
RIF,low-flow,31/08/2015,12,lf,Asellus.aquaticus,1
RIF,low-flow,31/08/2015,12,lf,Baetis.rhodani,11
RIF,low-flow,31/08/2015,12,lf,Chironomini.indet,1
RIF,low-flow,31/08/2015,12,lf,Dugesia.gonocephala,3
RIF,low-flow,31/08/2015,12,lf,Gammarus.pulex,52
RIF,low-flow,31/08/2015,12,lf,Leuctra.fusca.digitata,10
RIF,low-flow,31/08/2015,12,lf,Leuctra.hippopus,29
RIF,low-flow,31/08/2015,12,lf,Nemoura.sp,7
RIF,low-flow,31/08/2015,12,lf,Orthocladiinae.indet,3
RUN,low-flow,31/08/2015,12,lf,Baetis.rhodani,15
RUN,low-flow,31/08/2015,12,lf,Chironomini.indet,1
RUN,low-flow,31/08/2015,12,lf,Dicranota.sp,2
RUN,low-flow,31/08/2015,12,lf,Ecclisopteryx.dalecarlica,1
RUN,low-flow,31/08/2015,12,lf,Gammarus.pulex,198
RUN,low-flow,31/08/2015,12,lf,Hydraena.gracilis,1
RUN,low-flow,31/08/2015,12,lf,Leuctra.hippopus,10
RUN,low-flow,31/08/2015,12,lf,Nemoura.sp,4
RUN,low-flow,31/08/2015,12,lf,Oligochaeta.indet,1
RUN,low-flow,31/08/2015,12,lf,Orthocladiinae.indet,7
RUN,low-flow,31/08/2015,12,lf,Radix.balthica,2
RUN,low-flow,31/08/2015,12,lf,Tanypodinae.indet,4
RIF,low-flow,07/09/2015,1,lf.np,Baetis.rhodani,34
RIF,low-flow,07/09/2015,1,lf.np,Chironomini.indet,1
RIF,low-flow,07/09/2015,1,lf.np,Dugesia.gonocephala,1
RIF,low-flow,07/09/2015,1,lf.np,Gammarus.pulex,58
RIF,low-flow,07/09/2015,1,lf.np,Leuctra.fusca.digitata,7
RIF,low-flow,07/09/2015,1,lf.np,Leuctra.hippopus,19
RIF,low-flow,07/09/2015,1,lf.np,Nemoura.sp,5
RIF,low-flow,07/09/2015,1,lf.np,Orthocladiinae.indet,5
RIF,low-flow,07/09/2015,1,lf.np,Tanypodinae.indet,1
RUN,low-flow,07/09/2015,1,lf.np,Asellus.aquaticus,1
RUN,low-flow,07/09/2015,1,lf.np,Baetis.rhodani,36
RUN,low-flow,07/09/2015,1,lf.np,Chironomini.indet,1
RUN,low-flow,07/09/2015,1,lf.np,Dicranota.sp,3
RUN,low-flow,07/09/2015,1,lf.np,Ecclisopteryx.dalecarlica,1
RUN,low-flow,07/09/2015,1,lf.np,Elmis.aenea,2
RUN,low-flow,07/09/2015,1,lf.np,Gammarus.pulex,210
RUN,low-flow,07/09/2015,1,lf.np,Glossiphonia.complanata,1
RUN,low-flow,07/09/2015,1,lf.np,Leuctra.hippopus,21
RUN,low-flow,07/09/2015,1,lf.np,Nemoura.sp,4
RUN,low-flow,07/09/2015,1,lf.np,Oligochaeta.indet,30
RUN,low-flow,07/09/2015,1,lf.np,Oreodytes.sanmarkii,1
RUN,low-flow,07/09/2015,1,lf.np,Orthocladiinae.indet,2
RUN,low-flow,07/09/2015,1,lf.np,Prodiamesa.olivacea,1
RUN,low-flow,07/09/2015,1,lf.np,Tanypodinae.indet,1
RIF,low-flow,07/09/2015,2,lf.fs,Asellus.aquaticus,2
RIF,low-flow,07/09/2015,2,lf.fs,Baetis.rhodani,23
RIF,low-flow,07/09/2015,2,lf.fs,Dugesia.gonocephala,1
RIF,low-flow,07/09/2015,2,lf.fs,Gammarus.pulex,135
RIF,low-flow,07/09/2015,2,lf.fs,Hydraena.gracilis,1
RIF,low-flow,07/09/2015,2,lf.fs,Leuctra.fusca.digitata,8
RIF,low-flow,07/09/2015,2,lf.fs,Leuctra.hippopus,54
RIF,low-flow,07/09/2015,2,lf.fs,Nemoura.sp,8
RIF,low-flow,07/09/2015,2,lf.fs,Orthocladiinae.indet,11
RUN,low-flow,07/09/2015,2,lf.fs,Baetis.rhodani,2
RUN,low-flow,07/09/2015,2,lf.fs,Chironomini.indet,1
RUN,low-flow,07/09/2015,2,lf.fs,Gammarus.pulex,151
RUN,low-flow,07/09/2015,2,lf.fs,Hydraena.gracilis,1
RUN,low-flow,07/09/2015,2,lf.fs,Leuctra.hippopus,5
RUN,low-flow,07/09/2015,2,lf.fs,Nemoura.sp,2
RUN,low-flow,07/09/2015,2,lf.fs,Oligochaeta.indet,3
RUN,low-flow,07/09/2015,2,lf.fs,Orthocladiinae.indet,8
RUN,low-flow,07/09/2015,2,lf.fs,Pisidium.sp,1
RUN,low-flow,07/09/2015,2,lf.fs,Tanypodinae.indet,5
RIF,low-flow,07/09/2015,3,lf.np.fs,Asellus.aquaticus,2
RIF,low-flow,07/09/2015,3,lf.np.fs,Baetis.rhodani,24
RIF,low-flow,07/09/2015,3,lf.np.fs,Dugesia.gonocephala,1
RIF,low-flow,07/09/2015,3,lf.np.fs,Gammarus.pulex,67
RIF,low-flow,07/09/2015,3,lf.np.fs,Leuctra.fusca.digitata,24
RIF,low-flow,07/09/2015,3,lf.np.fs,Leuctra.hippopus,6
RIF,low-flow,07/09/2015,3,lf.np.fs,Nemoura.sp,10
RIF,low-flow,07/09/2015,3,lf.np.fs,Oligochaeta.indet,3
RIF,low-flow,07/09/2015,3,lf.np.fs,Orthocladiinae.indet,20
RIF,low-flow,07/09/2015,3,lf.np.fs,Sialis.sp,1
RIF,low-flow,07/09/2015,3,lf.np.fs,Tanypodinae.indet,2
RUN,low-flow,07/09/2015,3,lf.np.fs,Baetis.rhodani,1
RUN,low-flow,07/09/2015,3,lf.np.fs,Chironomini.indet,1
RUN,low-flow,07/09/2015,3,lf.np.fs,Gammarus.pulex,116
RUN,low-flow,07/09/2015,3,lf.np.fs,Leuctra.fusca.digitata,1
RUN,low-flow,07/09/2015,3,lf.np.fs,Leuctra.hippopus,4
RUN,low-flow,07/09/2015,3,lf.np.fs,Oligochaeta.indet,1
RUN,low-flow,07/09/2015,3,lf.np.fs,Orthocladiinae.indet,5
RUN,low-flow,07/09/2015,3,lf.np.fs,Tanypodinae.indet,9
RIF,low-flow,07/09/2015,4,lf,Baetis.rhodani,10
RIF,low-flow,07/09/2015,4,lf,Dugesia.gonocephala,1
RIF,low-flow,07/09/2015,4,lf,Gammarus.pulex,31
RIF,low-flow,07/09/2015,4,lf,Leuctra.fusca.digitata,1
RIF,low-flow,07/09/2015,4,lf,Leuctra.hippopus,31
RIF,low-flow,07/09/2015,4,lf,Nemoura.sp,2
RIF,low-flow,07/09/2015,4,lf,Orthocladiinae.indet,3
RUN,low-flow,07/09/2015,4,lf,Baetis.rhodani,9
RUN,low-flow,07/09/2015,4,lf,Dicranota.sp,2
RUN,low-flow,07/09/2015,4,lf,Ecclisopteryx.dalecarlica,1
RUN,low-flow,07/09/2015,4,lf,Elmis.aenea,1
RUN,low-flow,07/09/2015,4,lf,Gammarus.pulex,81
RUN,low-flow,07/09/2015,4,lf,Leuctra.fusca.digitata,2
RUN,low-flow,07/09/2015,4,lf,Leuctra.hippopus,11
RUN,low-flow,07/09/2015,4,lf,Nemoura.sp,3
RUN,low-flow,07/09/2015,4,lf,Orthocladiinae.indet,8
RUN,low-flow,07/09/2015,4,lf,Tanypodinae.indet,3
RIF,low-flow,07/09/2015,5,lf.fs,Gammarus.pulex,97
RIF,low-flow,07/09/2015,5,lf.fs,Leuctra.fusca.digitata,2
RIF,low-flow,07/09/2015,5,lf.fs,Nemoura.sp,1
RIF,low-flow,07/09/2015,5,lf.fs,Oligochaeta.indet,3
RIF,low-flow,07/09/2015,5,lf.fs,Orthocladiinae.indet,8
RIF,low-flow,07/09/2015,5,lf.fs,Prodiamesa.olivacea,1
RIF,low-flow,07/09/2015,5,lf.fs,Tanypodinae.indet,4
RUN,low-flow,07/09/2015,5,lf.fs,Asellus.aquaticus,6
RUN,low-flow,07/09/2015,5,lf.fs,Baetis.rhodani,28
RUN,low-flow,07/09/2015,5,lf.fs,Gammarus.pulex,91
RUN,low-flow,07/09/2015,5,lf.fs,Leuctra.fusca.digitata,19
RUN,low-flow,07/09/2015,5,lf.fs,Leuctra.hippopus,84
RUN,low-flow,07/09/2015,5,lf.fs,Nemoura.sp,14
RUN,low-flow,07/09/2015,5,lf.fs,Oligochaeta.indet,2
RUN,low-flow,07/09/2015,5,lf.fs,Orthocladiinae.indet,3
RUN,low-flow,07/09/2015,5,lf.fs,Tanypodinae.indet,1
RIF,low-flow,07/09/2015,6,lf.np,Asellus.aquaticus,1
RIF,low-flow,07/09/2015,6,lf.np,Baetis.rhodani,14
RIF,low-flow,07/09/2015,6,lf.np,Dugesia.gonocephala,1
RIF,low-flow,07/09/2015,6,lf.np,Gammarus.pulex,34
RIF,low-flow,07/09/2015,6,lf.np,Leuctra.fusca.digitata,22
RIF,low-flow,07/09/2015,6,lf.np,Leuctra.hippopus,47
RIF,low-flow,07/09/2015,6,lf.np,Nemoura.sp,1
RIF,low-flow,07/09/2015,6,lf.np,Oligochaeta.indet,2
RIF,low-flow,07/09/2015,6,lf.np,Orthocladiinae.indet,1
RUN,low-flow,07/09/2015,6,lf.np,Baetis.rhodani,3
RUN,low-flow,07/09/2015,6,lf.np,Gammarus.pulex,33
RUN,low-flow,07/09/2015,6,lf.np,Leuctra.hippopus,19
RUN,low-flow,07/09/2015,6,lf.np,Limnephilidae.indet,1
RUN,low-flow,07/09/2015,6,lf.np,Nemoura.sp,3
RUN,low-flow,07/09/2015,6,lf.np,Oreodytes.sanmarkii,1
RUN,low-flow,07/09/2015,6,lf.np,Orthocladiinae.indet,7
RUN,low-flow,07/09/2015,6,lf.np,Tanypodinae.indet,7
RIF,low-flow,07/09/2015,7,lf,Asellus.aquaticus,1
RIF,low-flow,07/09/2015,7,lf,Baetis.rhodani,12
RIF,low-flow,07/09/2015,7,lf,Gammarus.pulex,47
RIF,low-flow,07/09/2015,7,lf,Leuctra.fusca.digitata,21
RIF,low-flow,07/09/2015,7,lf,Leuctra.hippopus,49
RIF,low-flow,07/09/2015,7,lf,Nemoura.sp,7
RIF,low-flow,07/09/2015,7,lf,Oligochaeta.indet,1
RIF,low-flow,07/09/2015,7,lf,Orthocladiinae.indet,3
RUN,low-flow,07/09/2015,7,lf,Baetis.rhodani,1
RUN,low-flow,07/09/2015,7,lf,Chironomini.indet,3
RUN,low-flow,07/09/2015,7,lf,Gammarus.pulex,429
RUN,low-flow,07/09/2015,7,lf,Leuctra.hippopus,11
RUN,low-flow,07/09/2015,7,lf,Nemoura.sp,4
RUN,low-flow,07/09/2015,7,lf,Oligochaeta.indet,13
RUN,low-flow,07/09/2015,7,lf,Orthocladiinae.indet,7
RIF,low-flow,07/09/2015,8,lf.np.fs,Asellus.aquaticus,3
RIF,low-flow,07/09/2015,8,lf.np.fs,Baetis.rhodani,31
RIF,low-flow,07/09/2015,8,lf.np.fs,Dugesia.gonocephala,1
RIF,low-flow,07/09/2015,8,lf.np.fs,Gammarus.pulex,74
RIF,low-flow,07/09/2015,8,lf.np.fs,Leuctra.fusca.digitata,26
RIF,low-flow,07/09/2015,8,lf.np.fs,Leuctra.hippopus,12
RIF,low-flow,07/09/2015,8,lf.np.fs,Nemoura.sp,4
RIF,low-flow,07/09/2015,8,lf.np.fs,Oligochaeta.indet,4
RIF,low-flow,07/09/2015,8,lf.np.fs,Orthocladiinae.indet,9
RIF,low-flow,07/09/2015,8,lf.np.fs,Sialis.sp,1
RIF,low-flow,07/09/2015,8,lf.np.fs,Tanypodinae.indet,1
RUN,low-flow,07/09/2015,8,lf.np.fs,Baetis.rhodani,2
RUN,low-flow,07/09/2015,8,lf.np.fs,Dicranota.sp,1
RUN,low-flow,07/09/2015,8,lf.np.fs,Gammarus.pulex,107
RUN,low-flow,07/09/2015,8,lf.np.fs,Leuctra.fusca.digitata,1
RUN,low-flow,07/09/2015,8,lf.np.fs,Leuctra.hippopus,2
RUN,low-flow,07/09/2015,8,lf.np.fs,Nemoura.sp,2
RUN,low-flow,07/09/2015,8,lf.np.fs,Orthocladiinae.indet,7
RUN,low-flow,07/09/2015,8,lf.np.fs,Pisidium.sp,2
RUN,low-flow,07/09/2015,8,lf.np.fs,Tanypodinae.indet,1
RIF,low-flow,07/09/2015,9,lf.fs,Asellus.aquaticus,4
RIF,low-flow,07/09/2015,9,lf.fs,Baetis.rhodani,9
RIF,low-flow,07/09/2015,9,lf.fs,Dicranota.sp,2
RIF,low-flow,07/09/2015,9,lf.fs,Dugesia.gonocephala,1
RIF,low-flow,07/09/2015,9,lf.fs,Gammarus.pulex,72
RIF,low-flow,07/09/2015,9,lf.fs,Hydracnidia.indet,1
