FLUME,TREAT,TEMP,EXT,TSS,NIT,PHOS,Cl,Achnanthes,Anabaenopsis,Cocconeis,Diatoma,Encyonema,Fragilaria,Gomphonema,Limnothrix,Neidium,Navicula,Nitzschia,Phormidium,Planktothrix,Reimeria,Staurosira,Stigeoclonium,Synedra,Rhizoclonium,Leptolyngbya,Planktolyngbya,Mougeotia
37,Sed,19.79,0,200,364.75,19,79.4,0,3340.3,668.1,0,0,10689,6012.6,668.1,0,48768.6,36075.4,0,0,0,35407.3,0,72818.9,38079.6,11357.1,0,8684.8
38,Sed,19.79,0,50,364.75,19,79.4,0,10728,0,0,0,29502.1,1532.6,383.1,0,18774,9961.7,0,0,0,2682,0,31034.6,22222.3,0,0,4980.9
39,Sed,19.79,0,800,364.75,19,79.4,0,15163.8,0,0,0,0,7581.9,3790.9,0,37909.5,41700.4,0,0,0,0,102355.5,53073.2,856753.8,0,3790.9,106146.5
40,Sed,19.79,0,100,364.75,19,79.4,0,0,0,0,0,5419.5,677.4,0,0,25065.1,14226.1,0,0,0,0,16935.9,14226.1,163939.3,4742,0,0
41,Sed,19.79,0,100,364.75,19,79.4,0,0,0,0,0,49902.1,18881.9,0,0,84968.5,66086.6,0,0,0,117337.4,0,82271.1,6743.5,0,0,0
42,Sed,19.79,0,400,364.75,19,79.4,0,0,0,0,0,149418.7,5859.6,0,0,33204.2,14648.9,0,0,0,0,0,55665.8,0,31251,0,12695.7
43,Sed,19.79,0,25,364.75,19,79.4,0,0,0,279.2,279.2,13682.6,837.7,0,0,11448.7,21501.2,0,0,0,0,0,21780.4,10331.7,2233.9,558.5,8935.6
44,Sed,19.79,0,800,364.75,19,79.4,0,0,0,0,0,46006.5,14002,0,0,32004.5,26003.7,0,0,0,0,24003.4,110015.5,424059.7,0,2000.3,10001.4
45,Sed,19.79,0,50,364.75,19,79.4,0,0,0,0,0,32738.9,8184.7,0,0,50472.5,68206.1,0,0,0,0,0,80483.2,180064.2,0,0,31374.8
46,Sed,19.79,0,400,364.75,19,79.4,0,0,0,0,0,0,2602.6,0,0,5205.2,8675.3,0,0,0,0,0,6072.7,157890.4,7807.8,0,75475.1
47,Sed,19.79,0,25,364.75,19,79.4,0,0,0,0,0,12314,4477.8,0,0,31344.7,25001.1,0,0,0,0,0,41792.9,5597.3,1865.8,0,3731.5
48,Sed,19.79,0,200,364.75,19,79.4,0,0,0,0,0,7444.2,17369.7,0,0,45905.7,35980.1,0,0,0,0,0,34739.4,30397,12406.9,2481.4,10545.9
49,Nitrogen,19.79,0,0,1094.25,19,79.4,0,0,0,0,0,17717.9,2362.4,0,0,4134.2,14765,0,10040.2,0,0,0,14765,58469.2,42523.1,14174.4,4724.8
50,Nitrogen,19.79,0,0,1823.75,19,79.4,0,0,0,0,0,5075.9,13958.8,0,0,15862.3,10151.9,0,0,0,6344.9,0,3172.5,100249.8,17765.8,15227.8,83753
51,Nitrogen,19.79,0,0,547.125,19,79.4,0,0,0,0,0,82492,1793.3,0,0,17335.3,38854.9,0,0,0,0,7173.2,35268.3,14346.4,0,5379.9,0
52,Nitrogen,19.79,0,0,1459,19,79.4,0,0,0,0,712.6,104041.6,712.6,0,0,8551.4,9264,0,0,0,9976.6,0,19240.6,32067.6,14252.3,19240.6,7126.1
53,Nitrogen,19.79,0,0,729.5,19,79.4,0,0,0,0,0,26172.6,6913.5,0,0,13827,4444.4,0,0,0,0,0,14320.8,66665.9,18271.4,2469.1,22222
54,Nitrogen,19.79,0,0,911.875,19,79.4,0,0,0,0,0,4091.1,2045.5,0,0,6545.7,1636.4,0,0,0,0,0,7773,85094,7363.9,13500.5,4500.2
55,Nitrogen,19.79,0,0,1094.25,19,79.4,0,0,0,0,0,2479.4,1102,0,0,8540.3,1377.5,0,0,0,0,0,1102,27824.8,17631.6,4683.4,20111
56,Nitrogen,19.79,0,0,1823.75,19,79.4,0,0,0,0,0,2161.4,9510.4,0,0,20317.6,3458.3,0,0,0,0,0,4755.2,76947.6,0,0,17291.6
57,Nitrogen,19.79,0,0,729.5,19,79.4,0,0,0,0,0,7165,1954.1,0,0,4125.3,1519.9,0,0,0,0,0,4776.7,21929.3,19758.1,2388.3,1519.9
58,Nitrogen,19.79,0,0,1459,19,79.4,0,0,0,0,0,351477.7,1899.9,0,0,11399.3,26598.3,0,0,0,0,0,155790.1,125392.1,7599.5,7599.5,1899.9
59,Nitrogen,19.79,0,0,547.125,19,79.4,0,0,0,2001.6,0,256199.7,4003.1,0,0,82064,108084.2,0,0,0,40031.2,0,124096.7,4003.1,0,0,0
60,Nitrogen,19.79,0,0,911.875,19,79.4,0,0,0,0,237.7,5230.3,3328.4,0,0,3328.4,7845.5,0,0,0,0,5943.6,17117.5,17355.2,12838.1,0,1664.2
61,Phosphorous,19.79,0,0,364.75,82,79.4,0,0,0,0,889.5,29353.5,4447.5,0,0,10674,16011,0,0,0,12453,0,36469.5,161889.2,0,0,3558
62,Phosphorous,19.79,0,0,364.75,51,79.4,0,0,0,0,0,27595,2006.9,0,0,2759.5,13797.5,0,0,0,21072.6,15051.8,20570.8,1756,0,0,3010.4
63,Phosphorous,19.79,0,0,364.75,145,79.4,0,16048.9,0,0,205.8,10493.5,823,0,0,3086.3,2263.3,1851.8,0,0,1234.5,4115.1,2674.8,9876.2,8230.2,0,2057.6
64,Phosphorous,19.79,0,0,364.75,114,79.4,0,5806.5,0,0,305.6,15586,6112.1,0,0,14669.2,3056.1,4889.7,0,0,0,7640.2,4889.7,17725.2,10390.7,916.8,2444.9
65,Phosphorous,19.79,0,0,364.75,272,79.4,0,0,1577.6,0,0,129362.5,7888,0,0,64681.2,137250.4,0,0,0,59948.5,0,86767.5,78879.6,0,0,0
66,Phosphorous,19.79,0,0,364.75,208,79.4,0,0,0,0,0,962.7,385.1,0,0,2503,1925.4,0,0,0,2310.5,770.2,962.7,37160.1,7316.5,385.1,8279.2
67,Phosphorous,19.79,0,0,364.75,51,79.4,0,0,276.6,0,276.6,16042.1,1382.9,0,0,6638.1,9404,0,0,0,3042.5,10786.9,11063.5,18808,0,2489.3,3319.1
68,Phosphorous,19.79,0,0,364.75,82,79.4,0,0,682.9,0,0,14340.8,682.9,0,0,12292.1,6146,0,0,0,0,21169.7,8877.6,142724.7,2731.6,1365.8,4780.3
69,Phosphorous,19.79,0,0,364.75,114,79.4,0,0,0,0,0,16475.8,0,0,0,6590.3,3624.7,0,0,0,0,10544.5,4942.7,59971.9,0,329.5,0
70,Phosphorous,19.79,0,0,364.75,208,79.4,0,4665.1,0,0,0,7633.8,424.1,0,0,9754.3,2968.7,1272.3,0,0,0,20356.9,1696.4,83548,0,848.2,848.2
71,Phosphorous,19.79,0,0,364.75,145,79.4,0,3319.3,0,0,0,0,331.9,0,0,1659.7,2987.4,12945.5,0,0,0,0,2323.5,51781.9,8630.3,2323.5,17260.6
72,Phosphorous,19.79,0,0,364.75,272,79.4,0,7439.1,0,0,77.5,697.4,155,0,0,10383.7,2247.2,0,0,0,310,0,1472.3,6354.2,464.9,0,310
85,Cl,19.79,0,0,364.75,19,794,0,0,0,0,0,22102.8,9670,0,0,62854.9,66999.2,0,0,0,0,0,75978.5,1381.4,0,0,3453.6
86,Cl,19.79,0,0,364.75,19,794,0,0,685.9,0,1714.7,0,3429.4,0,0,39780.9,18861.6,0,0,0,0,9602.3,9945.2,12688.7,14746.4,0,1028.8
87,Cl,19.79,0,0,364.75,19,317.6,0,0,0,0,0,0,0,0,0,6789.7,2222.1,10246.3,0,0,0,0,0,14196.7,3086.2,0,617.2
88,Cl,19.79,0,0,364.75,19,317.6,0,0,619.5,0,0,0,3097.6,0,0,30356,11770.7,0,0,0,0,0,17036.5,6814.6,10841.4,0,12390.2
89,Cl,19.79,0,0,364.75,19,635.2,0,0,0,0,320.3,3203.2,2562.6,0,0,26586.8,8328.4,0,0,0,0,1921.9,15375.5,5445.5,961,0,32032.3
90,Cl,19.79,0,0,364.75,19,635.2,0,0,0,0,1179.5,4128.3,4423.2,0,0,26244.2,12974.7,0,0,0,0,5307.8,20051.8,7372,3538.5,0,4423.2
91,Cl,19.79,0,0,364.75,19,476.4,0,0,0,0,1943.8,8423.1,1295.9,0,0,93950.4,36932.2,0,0,0,0,0,26565.3,34340.5,9719,1943.8,14254.5
92,Cl,19.79,0,0,364.75,19,476.4,0,0,0,0,0,0,9982,0,0,101816.8,26951.5,0,0,0,0,0,20463.2,2994.6,0,0,499.1
93,Cl,19.79,0,0,364.75,19,158.8,0,38478.5,0,0,0,0,6012.3,0,0,62527.5,12024.5,0,0,0,0,0,5611.4,6012.3,2004.1,9218.8,400.8
94,Cl,19.79,0,0,364.75,19,952.8,0,0,0,0,0,0,6492.9,0,0,49057.4,15871.5,0,0,0,0,0,8657.2,28857.3,0,0,2885.7
95,Cl,19.79,0,0,364.75,19,952.8,0,0,0,0,0,0,1141.5,0,0,20546.7,23971.1,0,0,0,0,34244.5,6848.9,293361.1,12556.3,0,0
96,Cl,19.79,0,0,364.75,19,158.8,0,0,0,0,0,0,1145.6,0,0,11456.1,12028.9,0,0,0,0,17184.1,3436.8,159239.7,6300.9,0,0
97,Control,19.79,0,0,364.75,19,79.4,0,0,0,0,0,1977.1,1977.1,0,0,14828.4,12192.3,0,0,0,0,0,12521.8,16146.5,32622.5,3295.2,4613.3
98,Control,19.79,0,0,364.75,19,79.4,0,0,0,0,582.1,0,5238.7,0,0,54132.8,37834.8,0,0,0,0,0,37834.8,66356.4,2910.4,0,0
99,Control,19.79,0,0,364.75,19,79.4,0,0,0,0,0,0,3445,0,0,15933.3,16794.6,0,0,0,0,0,6028.8,53398.1,22392.8,9904.5,4306.3
100,Control,19.79,0,0,364.75,19,79.4,0,2439.7,0,116.2,0,0,348.5,0,0,6970.7,5808.9,0,0,0,0,0,1161.8,12663.4,1742.7,0,8713.4
101,Control,19.79,0,0,364.75,19,79.4,0,0,0,0,864.6,0,3458.5,0,0,81274.2,74357.2,0,0,0,37178.6,0,76086.5,0,0,0,0
102,Control,19.79,0,0,364.75,19,79.4,0,0,602.8,0,2411.2,0,6028,0,0,62691.5,75350.3,13864.5,0,0,0,0,19892.5,0,6028,0,3014
103,Control,19.79,0,0,364.75,19,79.4,0,0,0,0,0,0,11941.1,0,0,269868,439431.1,0,0,0,0,0,88363.9,54928.9,0,0,0
105,Control,19.79,0,0,364.75,19,79.4,0,0,0,0,0,0,1208.1,0,0,34430.2,30504,0,0,0,0,0,8154.5,0,20235.3,0,906.1
106,Control,19.79,0,0,364.75,19,79.4,0,0,197,0,197,0,985.2,0,0,22857.8,10246.6,0,0,0,985.2,0,3941,23251.9,394.1,0,1182.3
108,Control,19.79,0,0,364.75,19,79.4,0,0,0,0,699.7,0,0,0,0,52477.6,11894.9,0,0,0,0,0,2798.8,36734.3,0,0,2798.8
109,Control,19.79,0,0,364.75,19,79.4,0,0,0,0,825.6,0,550.4,0,0,39354.9,29172.2,0,0,0,0,0,8806.7,3577.7,5504.2,0,275.2
110,Control,19.79,0,0,364.75,19,79.4,0,0,0,0,617.9,0,617.9,0,0,69209.7,11740.9,0,0,0,1235.9,0,5561.5,11432,3398.7,0,2162.8
